trial_id,experiment_type,hover_duration_sec,drone_name,drone_ip,drone_role,start_pad,target_pad,phase,timestamp,elapsed_time,hover_elapsed_time,mid,x,y,z,X_global,Y_global,Z_global,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,battery,battery_hover_start,battery_end,battery_drop,templ,temph,tof,h,baro,motor_time,target_x,target_y,target_z,position_error_x,position_error_y,position_error_z,position_error_dist
25,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:11:35.719,2.199,2.199,2,-12,22,80,-12,72,80,-30,-3,0,0,0,0,-50.0,-18.0,-994.0,83,84,,,63,66,80,60,-97.63,20,0,50,80,12,-22,0,25.06
25,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:11:35.719,2.199,2.199,3,-9,13,83,-9,113,83,-6,0,0,0,0,0,24.0,-21.0,-1045.0,81,81,,,67,69,81,70,-96.88,20,0,100,80,9,-13,-3,16.093
25,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:11:35.823,2.303,2.303,1,-4,3,82,-4,3,82,-4,0,0,0,0,0,-75.0,21.0,-971.0,86,87,,,61,64,84,80,-97.86,20,0,0,80,4,-3,-2,5.385
25,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:11:35.823,2.303,2.303,2,-12,22,80,-12,72,80,-29,-3,1,0,0,0,-51.0,0.0,-1008.0,83,84,,,63,66,80,60,-97.75,20,0,50,80,12,-22,0,25.06
25,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:11:35.823,2.303,2.303,3,-9,13,83,-9,113,83,-6,0,0,0,0,0,10.0,-4.0,-1012.0,81,81,,,67,69,81,70,-96.83,20,0,100,80,9,-13,-3,16.093
25,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:11:35.929,2.409,2.409,1,-4,3,82,-4,3,82,-4,-1,0,0,0,0,-86.0,18.0,-970.0,86,87,,,62,64,84,80,-97.83,20,0,0,80,4,-3,-2,5.385
25,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:11:35.929,2.409,2.409,2,-12,22,80,-12,72,80,-29,-3,1,0,0,0,-78.0,-17.0,-976.0,83,84,,,63,66,79,60,-97.75,20,0,50,80,12,-22,0,25.06
25,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:11:35.929,2.409,2.409,3,-9,13,83,-9,113,83,-6,0,0,0,0,0,-4.0,-2.0,-1010.0,81,81,,,67,69,81,70,-96.89,20,0,100,80,9,-13,-3,16.093
25,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:11:36.034,2.514,2.514,1,-4,5,83,-4,5,83,-4,-1,0,0,0,0,-60.0,17.0,-1016.0,86,87,,,62,64,84,80,-97.87,20,0,0,80,4,-5,-3,7.071
25,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:11:36.034,2.514,2.514,2,-13,22,80,-13,72,80,-29,-2,0,0,0,0,-94.0,-1.0,-973.0,83,84,,,63,66,80,60,-97.65,20,0,50,80,13,-22,0,25.554
25,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:11:36.034,2.514,2.514,3,-9,13,83,-9,113,83,-6,1,0,0,0,0,-12.0,5.0,-1001.0,80,81,,,67,69,81,70,-96.87,20,0,100,80,9,-13,-3,16.093
25,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:11:36.140,2.62,2.62,1,-4,5,83,-4,5,83,-4,-2,0,0,0,0,-76.0,54.0,-938.0,86,87,,,62,64,83,80,-97.8,20,0,0,80,4,-5,-3,7.071
25,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:11:36.140,2.62,2.62,2,-13,22,80,-13,72,80,-30,-2,0,0,0,0,-92.0,3.0,-977.0,83,84,,,63,66,80,60,-97.75,20,0,50,80,13,-22,0,25.554
25,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:11:36.140,2.62,2.62,3,-8,15,81,-8,115,81,-6,1,1,0,0,0,4.0,-10.0,-993.0,80,81,,,67,69,82,70,-96.75,20,0,100,80,8,-15,-1,17.029
25,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:11:36.242,2.722,2.722,1,-4,5,83,-4,5,83,-4,-3,0,0,0,0,-38.0,11.0,-980.0,86,87,,,62,64,83,80,-97.76,20,0,0,80,4,-5,-3,7.071
25,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:11:36.242,2.722,2.722,2,-13,22,80,-13,72,80,-30,-3,0,0,0,0,-101.0,19.0,-982.0,83,84,,,63,66,79,60,-97.68,20,0,50,80,13,-22,0,25.554
25,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:11:36.242,2.722,2.722,3,-8,15,81,-8,115,81,-6,1,1,0,0,0,12.0,-2.0,-985.0,80,81,,,67,69,82,70,-96.79,20,0,100,80,8,-15,-1,17.029
25,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:11:36.347,2.827,2.827,1,-4,5,83,-4,5,83,-4,-2,0,0,0,0,-28.0,19.0,-982.0,86,87,,,62,64,84,80,-97.75,20,0,0,80,4,-5,-3,7.071
25,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:11:36.347,2.827,2.827,2,-13,22,80,-13,72,80,-30,-4,0,0,0,0,-79.0,12.0,-978.0,83,84,,,63,66,77,60,-97.63,20,0,50,80,13,-22,0,25.554
25,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:11:36.347,2.827,2.827,3,-8,15,81,-8,115,81,-7,0,0,0,0,0,-1.0,19.0,-965.0,80,81,,,67,69,82,70,-96.91,20,0,100,80,8,-15,-1,17.029
25,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:11:36.453,2.933,2.933,1,-7,3,84,-7,3,84,-4,-2,-1,0,0,0,-43.0,39.0,-996.0,86,87,,,62,64,84,80,-97.73,20,0,0,80,7,-3,-4,8.602
25,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:11:36.453,2.933,2.933,2,-13,21,81,-13,71,81,-30,-3,0,0,0,0,-74.0,-18.0,-1017.0,83,84,,,63,66,76,60,-97.72,20,0,50,80,13,-21,-1,24.718
25,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:11:36.453,2.933,2.933,3,-8,15,81,-8,115,81,-7,0,0,0,0,0,-16.0,3.0,-1000.0,80,81,,,67,69,82,70,-96.95,20,0,100,80,8,-15,-1,17.029
25,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:11:36.558,3.038,3.038,1,-7,3,84,-7,3,84,-4,-1,0,0,0,0,-28.0,14.0,-1037.0,85,87,,,62,64,83,80,-97.78,20,0,0,80,7,-3,-4,8.602
25,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:11:36.558,3.038,3.038,2,-13,21,81,-13,71,81,-30,-3,0,0,0,0,-62.0,-20.0,-1010.0,83,84,,,63,66,77,60,-97.82,20,0,50,80,13,-21,-1,24.718
25,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:11:36.558,3.038,3.038,3,-9,17,82,-9,117,82,-6,0,-1,0,0,0,17.0,-17.0,-997.0,80,81,,,67,69,82,70,-96.84,20,0,100,80,9,-17,-2,19.339
25,hover_column,60,drone_left,192.168.0.102,left,1,1,hover_hold,2026-04-29T11:11:36.664,3.144,3.144,1,-7,3,84,-7,3,84,-4,-1,-1,0,0,0,-52.0,28.0,-982.0,85,87,,,62,64,83,80,-97.9,20,0,0,80,7,-3,-4,8.602
25,hover_column,60,drone_middle,192.168.0.101,middle,2,2,hover_hold,2026-04-29T11:11:36.664,3.144,3.144,2,-13,21,81,-13,71,81,-30,-3,0,0,0,0,-77.0,-29.0,-943.0,83,84,,,63,66,76,60,-97.8,21,0,50,80,13,-21,-1,24.718
25,hover_column,60,drone_right,192.168.0.103,right,3,3,hover_hold,2026-04-29T11:11:36.664,3.144,3.144,3,-9,17,82,-9,117,82,-6,0,-1,0,0,0,6.0,1.0,-1012.0,80,81,,,67,69,82,70,-96.85,21,0,100,80,9,-17,-2,19.339
