run_id,baseline_id,drone_name,drone_number,drone_ip,battery_id,mode,direction,baseline_path,phase,timestamp,elapsed_time,mid,x,y,z,battery,battery_start,battery_drop_from_start,yaw,pitch,roll,vgx,vgy,vgz,agx,agy,agz,templ,temph,tof,h,baro,motor_time
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:57.944,72.333,6,-17,-2,83,76,100,24,-12,0,0,0,0,0,5.0,6.0,-995.0,52,56,82,70,-122.48,72
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:58.949,73.339,6,-16,7,83,76,100,24,-12,0,0,0,0,0,16.0,0.0,-996.0,53,55,81,70,-122.47,73
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:05:59.955,74.344,6,-18,-2,82,76,100,24,-12,0,0,0,0,0,5.0,2.0,-1000.0,53,55,81,70,-122.46,74
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:00.956,75.346,5,-19,41,82,76,100,24,-12,0,0,0,0,0,7.0,-3.0,-1001.0,53,56,82,70,-122.38,75
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:01.962,76.351,5,-15,39,84,75,100,25,-12,0,0,0,0,0,6.0,4.0,-997.0,52,55,82,70,-122.54,76
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:02.968,77.357,6,-16,1,82,75,100,25,-12,0,0,0,0,0,9.0,6.0,-992.0,53,56,81,70,-122.5,77
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:03.973,78.363,6,-18,-2,82,75,100,25,-12,0,0,0,0,0,8.0,-9.0,-1006.0,53,55,80,70,-122.54,78
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:04.978,79.368,6,-20,-2,81,75,100,25,-12,0,0,0,0,0,8.0,0.0,-1005.0,53,56,81,70,-122.51,79
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:05.984,80.374,6,-17,1,82,75,100,25,-12,0,0,0,0,0,20.0,-1.0,-997.0,53,56,82,70,-122.42,80
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:06.990,81.379,6,-17,1,82,75,100,25,-12,0,0,0,0,0,7.0,3.0,-995.0,53,56,82,70,-122.47,81
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:07.995,82.385,6,-16,1,83,75,100,25,-12,0,0,0,0,0,12.0,-8.0,-1003.0,53,56,82,70,-122.42,82
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:09.001,83.391,6,-16,1,83,75,100,25,-12,0,0,0,0,0,11.0,0.0,-993.0,54,57,81,70,-122.42,83
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:10.007,84.396,5,21,-35,79,75,100,25,-12,0,0,0,0,0,10.0,2.0,-993.0,54,56,81,70,-122.5,84
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:11.013,85.402,6,-15,3,83,74,100,26,-12,0,0,0,0,0,4.0,2.0,-1001.0,54,57,81,70,-122.38,85
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:12.019,86.408,6,-19,2,82,74,100,26,-12,0,0,0,0,0,10.0,6.0,-999.0,54,57,82,70,-122.45,86
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:13.025,87.414,6,-18,1,83,74,100,26,-12,0,0,0,0,0,14.0,-9.0,-1000.0,54,57,81,70,-122.38,87
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:14.030,88.42,6,-24,0,80,74,100,26,-12,-1,0,0,0,0,17.0,4.0,-1000.0,55,56,81,70,-122.43,88
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:15.036,89.426,6,-22,3,82,74,100,26,-12,0,0,0,0,0,11.0,-1.0,-995.0,54,57,82,70,-122.5,89
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:16.037,90.427,6,-21,2,82,74,100,26,-12,0,0,0,0,0,6.0,6.0,-1001.0,55,57,82,70,-122.45,90
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:17.041,91.43,6,-22,3,83,74,100,26,-12,0,0,0,0,0,11.0,0.0,-998.0,54,57,82,70,-122.32,91
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:18.045,92.435,6,-21,0,82,74,100,26,-12,0,0,0,0,0,10.0,11.0,-1008.0,54,57,82,70,-122.47,92
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:19.047,93.436,5,36,-4,80,74,100,26,-12,0,0,0,0,0,14.0,-15.0,-986.0,55,57,82,70,-122.37,93
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:20.053,94.442,6,-18,4,83,74,100,26,-12,0,0,0,0,0,11.0,1.0,-997.0,54,58,83,70,-122.35,94
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:21.054,95.443,5,22,-37,76,73,100,27,-12,0,0,0,0,0,13.0,15.0,-992.0,54,57,82,70,-122.37,95
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:22.056,96.446,6,-19,5,82,73,100,27,-12,0,0,0,0,0,15.0,3.0,-1004.0,55,58,81,70,-122.35,96
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:23.061,97.451,6,-21,10,81,73,100,27,-12,0,0,0,0,0,12.0,-3.0,-1003.0,55,58,81,70,-122.35,97
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:24.063,98.453,6,-26,10,79,73,100,27,-12,0,0,0,0,0,9.0,-1.0,-995.0,55,57,82,70,-122.35,98
20260513_150444,drone_5_B15_hover_20260513_150444,drone_5,5,192.168.0.107,B15,hover,up,,hover_to_10_percent,2026-05-13T15:06:25.067,99.457,6,-21,10,82,73,100,27,-12,0,0,0,0,0,13.0,-8.0,-998.0,55,58,82,70,-122.34,99
